,user,text,favorite_count,retweet_count,created_at
58,POTUS,I'm joining survivors and families impacted by gun violence to deliver remarks at the 10th Annual National Vigil for All Victims of Gun Violence. https://t.co/hBLwgwFOpo,11211,1757,2022-12-08 00:26:02+00:00
59,POTUS,"This is great news for Connecticut families who've been impacted by our nation's failed approach to marijuana.

No one should be imprisoned solely due to the possession of marijuana. https://t.co/grdlDm0cHR",16474,2680,2022-12-07 23:45:00+00:00
60,POTUS,"When I came to office, less than 5 million Americans were fully vaccinated. Since then, we’ve gotten almost 230 million Americans fully vaccinated, saving millions of lives.

Get your updated shot. https://t.co/jlrmakxHWm",13528,2115,2022-12-07 23:30:00+00:00
61,POTUS,"I know many of you are like the folks I grew up with in Scranton. You've felt left out for a long time.

Hear me: as we rebuild American manufacturing, we're not leaving anyone behind.

We’re going to make sure American workers are prepared to compete with anyone in the world.",20995,3384,2022-12-07 22:30:00+00:00
62,POTUS,"It was an honor spending time with our WWII veterans at the White House today.
 
These men and women were among those who answered the free world’s call at its greatest hour of need – we're indebted to them. Today and always. https://t.co/Esk7VkYjyz",31685,3850,2022-12-07 21:31:01+00:00
63,POTUS,"Seventeen Black women have been confirmed to federal circuit courts in U.S. history. And with the Senate’s confirmation of Judge Doris Pryor, I’m proud to have nominated 9 of them – with more on the way.

Courts matter. Now, they reflect more of the greatness of our nation. https://t.co/LTcodGyUBJ",19673,3774,2022-12-07 20:30:02+00:00
64,POTUS,"I just signed the Speak Out Act, a bill that'll enable survivors to speak out about workplace sexual assault and harassment and increase access to justice.
 
@RepLoisFrankel, @RepCheri, @SenGillibrand, @MazieHirono, and determined advocates: thank you for your tireless work. https://t.co/ZQwGNWZpO9",21564,3513,2022-12-07 19:19:49+00:00
65,POTUS,"Smart federal investment attracts private sector investment. It creates jobs and even new industries, and demonstrates we’re all in this together.
 
That’s what yesterday’s sit-down with industry leaders was about. https://t.co/1H4MjW5F6T",5120,810,2022-12-07 18:37:02+00:00
66,POTUS,"Congrats, Senator. Now let’s get you sworn in again. https://t.co/8wSJ59mX78",48903,5876,2022-12-07 17:34:34+00:00
67,POTUS,"Americans are starting to see the impact of our historic investments in their own lives.
 
It's part of a broader story about the economy we’re building that works for everyone – an economy that positions America to win the economic competition for the 21st Century. https://t.co/HHUIN8tHDC",13544,2205,2022-12-07 14:32:47+00:00
68,POTUS,"On National Pearl Harbor Remembrance Day, we honor those whose lives were cut short that tragic morning. And we reflect on the resilience of our Armed Forces who withstood the attack and built the most capable fighting force in the world.
 
We do not break and we never back down. https://t.co/J8C8U2yoUS",51501,8387,2022-12-07 13:00:28+00:00
69,POTUS,"Just called @SenatorWarnock to congratulate him on his win.

Tonight Georgia voters stood up for our democracy, rejected Ultra MAGAism, and most importantly: sent a good man back to the Senate. Here’s to six more years. https://t.co/ibx5aprVs3",173623,16464,2022-12-07 04:34:03+00:00
70,POTUS,"Micron is investing $100 billion to build microchips in Syracuse.
Intel is investing $20 billion to do the same in Columbus.
IBM is investing $20 billion in Poughkeepsie.
 
And TSMC is investing $40 billion right here in Phoenix. https://t.co/X5U8z3LUhP",25186,4097,2022-12-07 03:39:13+00:00
71,POTUS,"The economy grew at a 2.9% rate last quarter while inflation started to slow and unemployment stayed low.
 
What do these economic statistics really mean for people?
 
Millions of jobs.
Hundreds of thousands of manufacturing jobs.
Some welcome breathing room for families.",16016,3008,2022-12-06 23:00:00+00:00
72,POTUS,"We are proving that when we invest in America – especially in the high-growth, high-potential industries of the future – we can grow our economy from the bottom up and the middle out.",21982,3319,2022-12-06 21:55:42+00:00
73,POTUS,"Tune in as I discuss how my economic plan is leading to a manufacturing boom, rebuilding supply chains, and creating good-paying jobs in Arizona and across the country. https://t.co/WO1HCLx86e",6120,1209,2022-12-06 21:16:30+00:00
74,POTUS,It's the most wonderful time of the year. https://t.co/xwtQUkDC1D,49702,5750,2022-12-06 20:28:58+00:00
75,POTUS,"Even if you’ve gotten vaccinated or boosted, even if you’ve had COVID before – get the updated vaccine to protect you and your family ahead of the holidays. https://t.co/MMDMjQSZOo",18038,3141,2022-12-06 18:31:29+00:00
76,POTUS,"Because we're investing in ourselves again, the United States is a top destination for companies across the globe for new manufacturing.

They see what I see: our world-class, high-skilled, highly-committed labor force.",14137,2342,2022-12-06 15:00:00+00:00
77,POTUS,"We invented the microchip here, but American manufacturing – the backbone of our economy – got hollowed out and companies began to move jobs overseas.

Well, now we’re sending American-made products overseas made by the best workers in the world.",26423,4140,2022-12-06 14:01:52+00:00
78,POTUS,"Starting New Year's Day, seniors covered by Medicare will begin paying $35 per prescription per month for their insulin.",57843,7774,2022-12-06 03:00:01+00:00
79,POTUS,"Our economy is growing at a strong pace, gas prices are down since the summer, and unemployment is near record lows.
 
The American people should have confidence that our plan to tackle inflation, without giving up the historic economic gains we've achieved, is working.",15451,2717,2022-12-06 00:30:00+00:00
80,POTUS,"The economy added 263,000 jobs and wages rose in November. And the unemployment rate is near a record low.
 
We’re delivering historic results for the American people.",25562,3999,2022-12-05 22:30:00+00:00
81,POTUS,"Our economy is growing at a strong pace, gas prices are down since the summer, and unemployment is near record lows.

The American people should have confidence that our plan to tackle inflation, without giving up the historic economic gains we've achieved, is working.",13667,2252,2022-12-05 21:30:00+00:00
82,POTUS,"The Inflation Reduction Act lowers costs for families, combats the climate crisis, and reduces the deficit.

All while making the largest corporations pay their fair share. https://t.co/IYk5UUqlkS",9509,2071,2022-12-05 20:30:00+00:00
83,POTUS,"Because of our policies, folks are starting to feel the impact of our legislative achievements in their own lives.
 
It will only accelerate in the months ahead as we implement our investments in American families.",17848,2878,2022-12-05 19:15:00+00:00
84,POTUS,"As of today, the national average price of gas is $3.40 a gallon – the lowest since early February and lower than when Putin invaded Ukraine.",54771,7182,2022-12-05 17:51:23+00:00
85,POTUS,"Congratulations to the 2022 Kennedy Center Honorees and their wonderful families.
 
Thank you for showing us the power of the arts. You embody the very spirit of America. https://t.co/HzXvTmBZnh",22549,2646,2022-12-05 01:54:42+00:00
86,POTUS,"This week, we celebrated the enduring friendship of France and the United States by raising our glasses to President Macron, Mrs. Macron, and the people of France.
 
To the history that binds us, to the values that still unite us, and to the future we will forge together. https://t.co/ZdG9gqxof1",23388,3142,2022-12-04 23:16:00+00:00
87,POTUS,Tune in as I deliver remarks at the 45th Kennedy Center Honors. https://t.co/F8Z2rlRkx4,7030,1205,2022-12-04 21:52:53+00:00
88,POTUS,"We're working with companies, community colleges, technical schools, and union-led apprentice and training programs to make sure all American workers – with or without a college degree – are prepared to compete with anyone in the world.",24157,3701,2022-12-04 20:00:01+00:00
89,POTUS,"We’re back leading the way in manufacturing, proving it’s never been a good bet to bet against America.

Never. https://t.co/IZm4xfyJD4",30137,3271,2022-12-04 18:00:02+00:00
90,POTUS,"Gas prices have declined by an average of $1.60 a gallon over the past 173 days and are now back to the levels they were at in early February.

That's great news.",75286,8572,2022-12-04 16:20:12+00:00
91,POTUS,"Look, the holidays are approaching. Make sure your families and friends have maximum protection against COVID, so you can gather safely. 
 
Don't procrastinate – get your updated shot. https://t.co/jlrmakxHWm.",9958,1843,2022-12-04 14:21:54+00:00
92,POTUS,"Strictly speaking, shouldn’t it be “voetbal”?

Kidding aside: congrats to your team and country, Mark. Rematch in New Zealand. https://t.co/pqL3CaRIPS",38464,1848,2022-12-04 13:07:43+00:00
93,POTUS,It was a great week to be your president. https://t.co/GAzMVj3Uf3,45955,4602,2022-12-04 03:00:07+00:00
94,POTUS,"Folks, where is it written that America can’t lead the world in manufacturing?
 
Well, we are now. https://t.co/HvxWF75cQ0",28771,3497,2022-12-04 01:00:02+00:00
