,user,text,favorite_count,retweet_count,created_at
145,elonmusk,@F1Womble No later than noon,20513,1384,2022-12-11 08:23:32+00:00
146,elonmusk,The bots are in for a surprise tomorrow,593405,57967,2022-12-11 08:09:37+00:00
147,elonmusk,@nichegamer 💯,4631,191,2022-12-11 08:00:24+00:00
148,elonmusk,@stillgray Traceroute woke_mind_virus,15823,1784,2022-12-11 07:58:46+00:00
149,elonmusk,@Liz_Wheeler Good question,37366,2826,2022-12-11 07:37:44+00:00
150,elonmusk,@hodgetwins 🎯,40136,3067,2022-12-11 07:06:28+00:00
151,elonmusk,Deplatforming the President (cont.) https://t.co/Q51Ala4SNz,178878,34596,2022-12-11 05:35:53+00:00
152,elonmusk,@Twitter And many other features to come!,24847,1682,2022-12-10 23:22:58+00:00
153,elonmusk,https://t.co/80DdvpsNjM,643694,66856,2022-12-10 20:01:11+00:00
154,elonmusk,Twitter is both a social media company and a crime scene,689718,94980,2022-12-10 19:56:59+00:00
155,elonmusk,@elizableu Looks like Yoel is arguing in favor of children being able to access adult Internet services in his PhD thesis: https://t.co/1NiBohjhMQ,61779,15345,2022-12-10 19:29:34+00:00
156,elonmusk,@elizableu This explains a lot,91552,6940,2022-12-10 19:21:31+00:00
157,elonmusk,https://t.co/xKmQ8m7uHq,72989,4417,2022-12-10 17:08:54+00:00
158,elonmusk,🇲🇦🇲🇦 Congrats Morocco!! 🇲🇦🇲🇦,1272723,142443,2022-12-10 17:08:02+00:00
159,elonmusk,"@pepesgrandma @tedlieu Interesting, how so?",6244,463,2022-12-10 08:18:29+00:00
160,elonmusk,@TomFitton @realDonaldTrump @Twitter Coming soon …,124141,10508,2022-12-10 08:14:00+00:00
161,elonmusk,@cancelmyfunera1 @SirineAti @coffeetabletsla @tedlieu Yeah,3068,124,2022-12-10 08:01:28+00:00
162,elonmusk,@wintonARK Fate 🖤 Irony,5497,254,2022-12-10 08:00:11+00:00
163,elonmusk,@coffeetabletsla @tedlieu Good po1nt,2233,93,2022-12-10 07:54:55+00:00
164,elonmusk,@tedlieu Hey stop gaslighting me!,20907,1949,2022-12-10 07:50:57+00:00
165,elonmusk,@nichegamer It’s almost ready,4197,198,2022-12-10 07:44:05+00:00
166,elonmusk,@DomaineValescia At least! 🤣,6200,244,2022-12-10 07:41:31+00:00
167,elonmusk,@nichegamer We seriously need long-form tweets!,6314,384,2022-12-10 07:40:47+00:00
168,elonmusk,@sparklingruby Worth a read,29124,2063,2022-12-10 06:24:18+00:00
169,elonmusk,"@ZacksJerryRig Do I think Trump would have lost anyway? Yes. And, as a reminder, I supported Biden, Hilary and Obama.

Nonetheless, election interference by social media companies obviously undermines the public’s faith in democracy and is wrong.",45031,5766,2022-12-10 03:25:32+00:00
170,elonmusk,@TomFitton @Twitter @realDonaldTrump Unequivocally true. The evidence is clear and voluminous.,149637,21053,2022-12-10 03:00:25+00:00
171,elonmusk,"@ggreenwald With rare exception, the FBI seems to want to do the right thing, but there is no question that Twitter operated as a Democratic Party activist machine",89013,18058,2022-12-10 02:58:42+00:00
172,elonmusk,"The Twitter Files, Part 3

Deplatforming the President https://t.co/nvdlRNYXxA",209095,47545,2022-12-10 01:57:36+00:00
173,elonmusk,@laralogan Indeed. Shame on them!,83375,7834,2022-12-09 23:20:46+00:00
174,elonmusk,@ellagirwin @jack @Cernovich @annecollier @eirliani @podesta_lesley Correct,10731,699,2022-12-09 22:22:06+00:00
175,elonmusk,"@realGeorgeHotz More than just a polycule in the Bahamas, that’s for sure!",17885,961,2022-12-09 21:12:38+00:00
176,elonmusk,@elizableu Exactly correct.,64526,4447,2022-12-09 21:07:07+00:00
177,elonmusk,@CathieDWood Absolutely,6911,357,2022-12-09 20:59:23+00:00
178,elonmusk,"@jack @Cernovich @annecollier @eirliani @podesta_lesley @ellagirwin At the same time, Ned was spending millions of dollars on Warriors seats. Super messed up priorities.",37123,3919,2022-12-09 20:58:03+00:00
179,elonmusk,"@cb_doge @MomAngtrades Just a rough guess, but things probably start looking better in Q2 2024",9096,934,2022-12-09 20:56:04+00:00
180,elonmusk,@sourpatchlyds @Cernovich @annecollier @eirliani @podesta_lesley Small world,16942,1168,2022-12-09 20:35:56+00:00
181,elonmusk,"@jack @Cernovich @annecollier @eirliani @podesta_lesley No, it is not. 

When Ella Irwin, who now runs Trust &amp; Safety, joined Twitter earlier this year, almost no one was working on child safety.

She raised this with Ned &amp; Parag, but they rejected her staffing request.

I made it top priority immediately.

@ellagirwin",67686,10277,2022-12-09 20:32:44+00:00
182,elonmusk,@MomAngtrades lol,3825,115,2022-12-09 19:37:58+00:00
183,elonmusk,@liquidsunlabs Agreed,14059,366,2022-12-09 19:34:44+00:00
184,elonmusk,"If the Fed raises rates again next week, the recession will be greatly amplified",314159,37861,2022-12-09 19:32:24+00:00
185,elonmusk,@nichegamer @eltonofficial It’s true that most celebrities don’t write their own posts. More should. Way better to hear directly from them.,52559,2250,2022-12-09 18:59:05+00:00
186,elonmusk,"Something I always admired about American legislators, at least historically, was that they would sometimes vote against the party line",87538,6248,2022-12-09 18:54:11+00:00
187,elonmusk,"Good for @SenatorSinema! I hope more of our elected leaders act independently, aka in the interests of the people.",208727,20735,2022-12-09 18:43:56+00:00
188,elonmusk,@micsolana Absolutely! The real CEO was the head of “Trust &amp; Safety”.,47058,4364,2022-12-09 18:09:46+00:00
189,elonmusk,"@Jason @aoscott Top Gun Maverick was great!

NYTimes has gone “full woke”.",99254,6358,2022-12-09 18:07:42+00:00
190,elonmusk,"@WholeMarsBlog In reality, Twitter is doing a much better job of combating disinformation. @CommunityNotes is a big part of that.",33256,2389,2022-12-09 18:03:00+00:00
